   227    291   227    50    82
   292    466   329   100    83
   265    730   478    62    89
   264    633   526    68    82
   321   1509  1068    72    77
   260    831   515    63    91
   315   1038   736    65    87
   253    403   337    84    91
   286    553   538    66    95
   292    996   686    91    92
   251    400   429    77    85
   239    267   263    71    88
   261    329   255    66    86
   279    466   283    73    91
   251    570   489    38    89
   279    668   574    62    89
   255    446   303    78    97
   255    362   238    83    96
   241    387   248    71    93
   258    246   215    54    83
   286    361   349    44    91
   272    467   449    30    94
   299    940   867    29    98
   307   1041   932    33    98
   284    871   921    56    88
   269    473   346    29    81
   285    732   608    36    87
   307    717   500    76    77
   305    294   335    55    79
   288    396   320    38    88
   285    443   324    44    86
   308    429   336    62    82
   291    336   224    46    93
   289    544   300    23    89
   334    760   463    54    91
   343    672   383    78    90
   319    555   406    78    85
   307    556   346    90    89
   284    298   164   121    83
   297    150   121   110    80
   256    192   153    91    89
   297    428   240    87    88
   311    517   366    50    93
   296    425   302    58    90
   327   1000   827    46    92
   322   1135   618    82    89
   310    322   154   113    95
   301    228   128   110    89
   301    220   192    79    82
   297    360   281    77    87
   284    310   240   112    91
   300    294   260    69    78
   295    138   186    57    83
   310    425   324    32    83
   283    322   259    10    90
   343    512   394    27    87
   317    453   283    30    95
   320    352   251    22    91
   303    317   260    15    75
   304    430   340    18    77
   328    389   296    -4    79
   305    357   283    -6    78
   343    314   229    18    70
   343    544   420    16    85
   388   1353   824    10    93
   370    720   538    98    87
   369    574   423   -11    80
   373    796   480    30    85
   373    246   130    72    96
   379    260   137    90    70
   346    184   156     2    89
   311    172   185    88    65
   337    133   202   116    74
   291    261   200    44    69
   328    406   237    23    85
   329    770   351     5    90
   360   1310   539    18    96
   326    742   383    37    71
   370    976   360    46    82
   403   1701   572    19    99
   369   1965  1289    17    86
   367    646   295    42    91
   354    301   197    26    87
   386    295   200    19    84
   348    263   196    17    87
   359    261   200    27    89
   417    450   317    28    88
   428    657   602    28    86
   411    486   398    27    91
   378    333   265     9    95
   428    419   255    29    88
   481    600   703    36    94
   411    415   268    27    94
   489    380   335    36    85
   471    374   375    29    94
   499    370   273    20    94
   494    344   231    50    91
   536    418   331    53    88
   577    617   720    34    96
   553    749  1178    47    90
   677   1587  1755    40    96
   553   1157   811    14    94
   557    297   315    58    79
   526    253   203    99    98
   540    601   444    74    91
   532    276   272    79    88
   484    380   346   103    83
   472    260   281   103    67
   447    256   261   103    76
   472    363   220   128    68
